Load,Recycling,Nox
180,0,0.0005659727571724
180,2,0.0005957157904857
180,4,0.0006225238455245
180,6,0.0006240059951307
180,8,0.0006529676857463
180,10,0.0007081077174068
180,12,0.0007109109050865
180,14,0.0007427378582037
180,16,0.0007795585064193
180,18,0.0008085506445341
180,20,0.000801144921006
180,22,0.0008800283873645
180,24,0.0009147114586313
180,26,0.0009554375113943
180,28,0.0009921076279468
180,30,0.0010246992276415
185,0,0.000556408391953
185,2,0.000574318157173
185,4,0.0006252052986778
185,6,0.0006413523070824
185,8,0.0006555295751437
185,10,0.0006481408334486
185,12,0.0006682850622324
185,14,0.0007037460888098
185,16,0.0007209001218524
185,18,0.000725544847748
185,20,0.0007452796467622
185,22,0.000764651752356
185,24,0.0007926833819758
185,26,0.0008050916361306
185,28,0.0008266116220143
185,30,0.000850066449931
190,0,0.0006071319478664
190,2,0.0006169429257883
190,4,0.0006193891188318
190,6,0.0006254493775686
190,8,0.0006352539992897
190,10,0.0006144343497536
190,12,0.0006405218581103
190,14,0.00064240984169
190,16,0.0006388289709756
190,18,0.0006467779914682
190,20,0.0006598718443149
190,22,0.0006726419145832
190,24,0.0006677009924176
190,26,0.0006853721723819
190,28,0.0006807866368282
190,30,0.000690895824951
195,0,0.0006213543692011
195,2,0.0006164691608876
195,4,0.0006103166370874
195,6,0.0006103166370874
195,8,0.0005954742276909
195,10,0.0005937498724223
195,12,0.0005922677200644
195,14,0.0005761890170498
195,16,0.0005877602864252
195,18,0.0005822366111029
195,20,0.0005809253294678
195,22,0.0005765763168709
195,24,0.0005659020559138
195,26,0.0005629030069508
195,28,0.0005655542152332
195,30,0.000562739790007
200,0,0.0006274897773898
200,2,0.0006109493498396
200,4,0.0005819366458272
200,6,0.0005880943096337
200,8,0.0005728075217356
200,10,0.00055030798909
200,12,0.000547485758326
200,14,0.0005328998290574
200,16,0.0005189379697825
200,18,0.0005095844920398
200,20,0.0004998171788797
200,22,0.0004854655085754
200,24,0.0004753585295808
200,26,0.0004610072207604
200,28,0.0004488925343353
200,30,0.000442874819687
205,0,0.0006358708768064
205,2,0.0005919815738255
205,4,0.000563849326683
205,6,0.0005448006510734
205,8,0.0005166676418522
205,10,0.0005185184450181
205,12,0.0004977120553843
205,14,0.0004712032732837
205,16,0.0004587772479989
205,18,0.0004403680415879
205,20,0.0004240703258392
205,22,0.0004077914626718
205,24,0.0003908567479623
205,26,0.0003748424375861
205,28,0.0003607089512948
205,30,0.0003469628932855
210,0,0.0006440006790566
210,2,0.0006054680474028
210,4,0.0005746764690311
210,6,0.0005427876725369
210,8,0.0005085818150938
210,10,0.0004838079827741
210,12,0.0004564322242379
210,14,0.0004308328767094
210,16,0.0004041439853015
210,18,0.0003797702925997
210,20,0.0003593368828819
210,22,0.0003413515271102
210,24,0.0003210798357189
210,26,0.0003043345932219
210,28,0.0002861732770801
210,30,0.0002709308744811
215,0,0.0006489717840156
215,2,0.0006082203289152
215,4,0.0005601587928467
215,6,0.0005207610016554
215,8,0.0004846021607843
215,10,0.0004467272191208
215,12,0.0004171357953513
215,14,0.0003826598893084
215,16,0.0003587885669699
215,18,0.000329802590581
215,20,0.0003079038690036
215,22,0.0002850074183384
215,24,0.000264463513657
215,26,0.0002448777157392
215,28,0.0002263002857704
215,30,0.0002074644168647
220,0,0.0006678268838402
220,2,0.0006100567443561
220,4,0.0005559302260274
220,6,0.0005055053509189
220,8,0.0004587435427066
220,10,0.0004587435427066